Wavelength,I,Incrament,,Ambient air
409.5378,0.40398,,,
409.53785,0.40417,,,
409.5379,0.40406,,,
409.53795,0.40394,,,
409.538,0.40409,,,
409.53805,0.4041,,,
409.5381,0.40425,,,
409.53815,0.404,,,
409.5382,0.40415,,,
409.53825,0.40425,,,
409.5383,0.40394,,,
409.53835,0.40394,,,
409.5384,0.40405,,,
409.53845,0.40398,,,
409.5385,0.40413,,,
409.53855,0.40389,,,
409.5386,0.40405,,,
409.53865,0.40394,,,
409.5387,0.40405,,,
409.53875,0.40399,,,
409.5388,0.40409,,,
409.53885,0.40413,,,
409.5389,0.40408,,,
409.53895,0.40409,,,
409.539,0.40414,,,
409.53905,0.40391,,,
409.5391,0.40408,,,
409.53915,0.40414,,,
409.5392,0.40397,,,
409.53925,0.40399,,,
409.5393,0.40419,,,
409.53935,0.40394,,,
409.5394,0.40405,,,
409.53945,0.4041,,,
409.5395,0.40409,,,
409.53955,0.40404,,,
409.5396,0.40375,,,
409.53965,0.40384,,,
409.5397,0.40398,,,
409.53975,0.40394,,,
409.5398,0.40427,,,
409.53985,0.40411,,,
409.5399,0.40415,,,
409.53995,0.40393,,,
409.54,0.40402,,,
409.54005,0.404,,,
409.5401,0.40394,,,
409.54015,0.40406,,,
409.5402,0.40416,,,
409.54025,0.40397,,,
409.5403,0.40391,,,
409.54035,0.40411,,,
409.5404,0.40404,,,
409.54045,0.40404,,,
409.5405,0.40408,,,
409.54055,0.4041,,,
409.5406,0.40413,,,
409.54065,0.40403,,,
409.5407,0.40397,,,
409.54075,0.40439,,,
409.5408,0.40391,,,
409.54085,0.40405,,,
409.5409,0.40403,,,
409.54095,0.40405,,,
409.541,0.40421,,,
409.54105,0.40413,,,
409.5411,0.40414,,,
409.54115,0.4041,,,
409.5412,0.40404,,,
409.54125,0.40416,,,
409.5413,0.40403,,,
409.54135,0.40405,,,
409.5414,0.40415,,,
409.54145,0.40391,,,
409.5415,0.40416,,,
409.54155,0.40398,,,
409.5416,0.40398,,,
409.54165,0.40406,,,
409.5417,0.40399,,,
409.54175,0.40384,,,
409.5418,0.40408,,,
409.54185,0.40415,,,
409.5419,0.40427,,,
409.54195,0.40414,,,
409.542,0.40403,,,
409.54205,0.40408,,,
409.5421,0.40414,,,
409.54215,0.40411,,,
409.5422,0.40389,,,
409.54225,0.40433,,,
409.5423,0.40416,,,
409.54235,0.40399,,,
409.5424,0.40394,,,
409.54245,0.40405,,,
409.5425,0.40404,,,
409.54255,0.40426,,,
409.5426,0.40388,,,
409.54265,0.40419,,,
409.5427,0.40416,,,
409.54275,0.4041,,,
409.5428,0.4041,,,
409.54285,0.40413,,,
409.5429,0.404,,,
409.54295,0.40398,,,
409.543,0.40402,,,
409.54305,0.4041,,,
409.5431,0.404,,,
409.54315,0.40421,,,
409.5432,0.4042,,,
409.54325,0.40426,,,
409.5433,0.40422,,,
409.54335,0.40405,,,
409.5434,0.40416,,,
409.54345,0.40411,,,
409.5435,0.40399,,,
409.54355,0.40416,,,
409.5436,0.40437,,,
409.54365,0.40404,,,
409.5437,0.40414,,,
409.54375,0.40417,,,
409.5438,0.40408,,,
409.54385,0.40408,,,
409.5439,0.40411,,,
409.54395,0.40447,,,
409.544,0.40404,,,
409.54405,0.40432,,,
409.5441,0.40411,,,
409.54415,0.40431,,,
409.5442,0.4041,,,
409.54425,0.40416,,,
409.5443,0.40395,,,
409.54435,0.4038,,,
409.5444,0.40398,,,
409.54445,0.40409,,,
409.5445,0.40388,,,
409.54455,0.40392,,,
409.5446,0.40426,,,
409.54465,0.40431,,,
409.5447,0.40452,,,
409.54475,0.40408,,,
409.5448,0.40421,,,
409.54485,0.40413,,,
409.5449,0.40433,,,
409.54495,0.40408,,,
409.545,0.40415,,,
409.54505,0.404,,,
409.5451,0.40404,,,
409.54515,0.40404,,,
409.5452,0.40425,,,
409.54525,0.40425,,,
409.5453,0.40414,,,
409.54535,0.4041,,,
409.5454,0.40384,,,
409.54545,0.40422,,,
409.5455,0.40403,,,
409.54555,0.40422,,,
409.5456,0.40399,,,
409.54565,0.40419,,,
409.5457,0.40391,,,
409.54575,0.40432,,,
409.5458,0.40413,,,
409.54585,0.4042,,,
409.5459,0.40411,,,
409.54595,0.40408,,,
409.546,0.40413,,,
409.54605,0.4041,,,
409.5461,0.40423,,,
409.54615,0.40428,,,
409.5462,0.40411,,,
409.54625,0.40432,,,
409.5463,0.40426,,,
409.54635,0.40436,,,
409.5464,0.40421,,,
409.54645,0.40458,,,
409.5465,0.40438,,,
409.54655,0.40406,,,
409.5466,0.40431,,,
409.54665,0.40415,,,
409.5467,0.40427,,,
409.54675,0.40409,,,
409.5468,0.40419,,,
409.54685,0.40397,,,
409.5469,0.40426,,,
409.54695,0.40445,,,
409.547,0.4043,,,
409.54705,0.40428,,,
409.5471,0.40428,,,
409.54715,0.40431,,,
409.5472,0.40439,,,
409.54725,0.40445,,,
409.5473,0.40434,,,
409.54735,0.40438,,,
409.5474,0.40417,,,
409.54745,0.40433,,,
409.5475,0.40434,,,
409.54755,0.40441,,,
409.5476,0.40437,,,
409.54765,0.40409,,,
409.5477,0.40425,,,
409.54775,0.40411,,,
409.5478,0.40442,,,
409.54785,0.40431,,,
409.5479,0.40431,,,
409.54795,0.40414,,,
409.548,0.40421,,,
409.54805,0.40423,,,
409.5481,0.40453,,,
409.54815,0.40416,,,
409.5482,0.40438,,,
409.54825,0.4041,,,
409.5483,0.4043,,,
409.54835,0.40441,,,
409.5484,0.4043,,,
409.54845,0.40422,,,
409.5485,0.40427,,,
409.54855,0.4043,,,
409.5486,0.40431,,,
409.54865,0.40455,,,
409.5487,0.40438,,,
409.54875,0.40402,,,
409.5488,0.40441,,,
409.54885,0.40448,,,
409.5489,0.40461,,,
409.54895,0.40458,,,
409.549,0.40458,,,
409.54905,0.40453,,,
409.5491,0.40461,,,
409.54915,0.40449,,,
409.5492,0.40441,,,
409.54925,0.40445,,,
409.5493,0.40438,,,
409.54935,0.40449,,,
409.5494,0.4043,,,
409.54945,0.40461,,,
409.5495,0.40421,,,
409.54955,0.40417,,,
409.5496,0.40442,,,
409.54965,0.40447,,,
409.5497,0.4047,,,
409.54975,0.40432,,,
409.5498,0.40447,,,
409.54985,0.40456,,,
409.5499,0.40465,,,
409.54995,0.40465,,,
409.55,0.40472,,,
409.55005,0.40474,,,
409.5501,0.40445,,,
409.55015,0.40463,,,
409.5502,0.4046,,,
409.55025,0.40463,,,
409.5503,0.40447,,,
409.55035,0.40484,,,
409.5504,0.4046,,,
409.55045,0.40461,,,
409.5505,0.40494,,,
409.55055,0.40467,,,
409.5506,0.40439,,,
409.55065,0.4048,,,
409.5507,0.40438,,,
409.55075,0.40464,,,
409.5508,0.40474,,,
409.55085,0.40442,,,
409.5509,0.40469,,,
409.55095,0.40459,,,
409.551,0.4048,,,
409.55105,0.40449,,,
409.5511,0.40482,,,
409.55115,0.40495,,,
409.5512,0.40447,,,
409.55125,0.4048,,,
409.5513,0.40475,,,
409.55135,0.40475,,,
409.5514,0.40469,,,
409.55145,0.4045,,,
409.5515,0.40487,,,
409.55155,0.40489,,,
409.5516,0.40455,,,
409.55165,0.40465,,,
409.5517,0.40514,,,
409.55175,0.40498,,,
409.5518,0.40474,,,
409.55185,0.40469,,,
409.5519,0.40499,,,
409.55195,0.40502,,,
409.552,0.40483,,,
409.55205,0.40481,,,
409.5521,0.4048,,,
409.55215,0.40502,,,
409.5522,0.40524,,,
409.55225,0.40491,,,
409.5523,0.40522,,,
409.55235,0.40505,,,
409.5524,0.40477,,,
409.55245,0.40487,,,
409.5525,0.40514,,,
409.55255,0.40532,,,
409.5526,0.4052,,,
409.55265,0.40491,,,
409.5527,0.40515,,,
409.55275,0.40491,,,
409.5528,0.40524,,,
409.55285,0.40472,,,
409.5529,0.40524,,,
409.55295,0.405,,,
409.553,0.40476,,,
409.55305,0.40505,,,
409.5531,0.40509,,,
409.55315,0.4053,,,
409.5532,0.40509,,,
409.55325,0.40519,,,
409.5533,0.40491,,,
409.55335,0.40493,,,
409.5534,0.405,,,
409.55345,0.40541,,,
409.5535,0.40506,,,
409.55355,0.40504,,,
409.5536,0.40527,,,
409.55365,0.40509,,,
409.5537,0.40517,,,
409.55375,0.4052,,,
