Wavelength,I,step
545.50005,0.42486,
545.5001,0.42566,
545.50015,0.42578,
545.5002,0.42639,
545.50025,0.42602,
545.5003,0.42578,
545.50035,0.42352,
545.5004,0.42145,
545.50045,0.42035,
545.5005,0.42395,
545.50055,0.42566,
545.5006,0.41944,
545.50065,0.41937,
545.5007,0.4198,
545.50075,0.4245,
545.5008,0.42218,
545.50085,0.42322,
545.5009,0.42102,
545.50095,0.41944,
545.501,0.42407,
545.50105,0.42206,
545.5011,0.41956,
545.50115,0.42059,
545.5012,0.42212,
545.50125,0.42084,
545.5013,0.4223,
545.50135,0.42084,
545.5014,0.42059,
545.50145,0.4187,
545.5015,0.41962,
545.50155,0.41998,
545.5016,0.41998,
545.50165,0.41992,
545.5017,0.42114,
545.50175,0.41578,
545.5018,0.41809,
545.50185,0.41931,
545.5019,0.41596,
545.50195,0.41791,
545.502,0.41779,
545.50205,0.41828,
545.5021,0.41767,
545.50215,0.4173,
545.5022,0.41767,
545.50225,0.41712,
545.5023,0.41449,
545.50235,0.41651,
545.5024,0.41712,
545.50245,0.41669,
545.5025,0.41675,
545.50255,0.41352,
545.5026,0.41663,
545.50265,0.4162,
545.5027,0.41547,
545.50275,0.41596,
545.5028,0.41541,
545.50285,0.41504,
545.5029,0.41315,
545.50295,0.4148,
545.503,0.417,
545.50305,0.41523,
545.5031,0.4137,
545.50315,0.41236,
545.5032,0.41382,
545.50325,0.41517,
545.5033,0.41486,
545.50335,0.41267,
545.5034,0.4134,
545.50345,0.4148,
545.5035,0.41474,
545.50355,0.41315,
545.5036,0.41059,
545.50365,0.41297,
545.5037,0.41248,
545.50375,0.41267,
545.5038,0.4137,
545.50385,0.4126,
545.5039,0.41327,
545.50395,0.41096,
545.504,0.41248,
545.50405,0.41242,
545.5041,0.41236,
545.50415,0.41224,
545.5042,0.41047,
545.50425,0.41212,
545.5043,0.41083,
545.50435,0.4112,
545.5044,0.41132,
545.50445,0.41327,
545.5045,0.41267,
545.50455,0.41163,
545.5046,0.40992,
545.50465,0.41236,
545.5047,0.40968,
545.50475,0.41187,
545.5048,0.41108,
545.50485,0.41151,
545.5049,0.41144,
545.50495,0.41016,
545.505,0.40968,
545.50505,0.41047,
545.5051,0.40986,
545.50515,0.41059,
545.5052,0.41004,
545.50525,0.41279,
545.5053,0.40992,
545.50535,0.41065,
545.5054,0.40846,
545.50545,0.41041,
545.5055,0.40949,
545.50555,0.40949,
545.5056,0.41132,
545.50565,0.4101,
545.5057,0.40961,
545.50575,0.40974,
545.5058,0.4101,
545.50585,0.40876,
545.5059,0.41059,
545.50595,0.40846,
545.506,0.4087,
545.50605,0.4084,
545.5061,0.40827,
545.50615,0.40858,
545.5062,0.40907,
545.50625,0.40791,
545.5063,0.40846,
545.50635,0.40675,
545.5064,0.40778,
545.50645,0.40894,
545.5065,0.40931,
545.50655,0.40876,
545.5066,0.40876,
545.50665,0.40736,
545.5067,0.40778,
545.50675,0.40809,
545.5068,0.40815,
545.50685,0.40785,
545.5069,0.40803,
545.50695,0.40803,
545.507,0.4087,
545.50705,0.40778,
545.5071,0.40693,
545.50715,0.40754,
545.5072,0.40846,
545.50725,0.40742,
545.5073,0.4084,
545.50735,0.40718,
545.5074,0.40638,
545.50745,0.40687,
545.5075,0.40693,
545.50755,0.40608,
545.5076,0.40693,
545.50765,0.40705,
545.5077,0.40778,
545.50775,0.40705,
545.5078,0.4062,
545.50785,0.40602,
545.5079,0.40657,
545.50795,0.40754,
545.508,0.40644,
545.50805,0.40803,
545.5081,0.40681,
545.50815,0.40669,
545.5082,0.40736,
545.50825,0.40693,
545.5083,0.40742,
545.50835,0.40736,
545.5084,0.40705,
545.50845,0.40718,
545.5085,0.4062,
545.50855,0.40693,
545.5086,0.40608,
545.50865,0.40681,
545.5087,0.40657,
545.50875,0.40797,
545.5088,0.4062,
545.50885,0.40632,
545.5089,0.40565,
545.50895,0.40596,
545.509,0.40657,
545.50905,0.40675,
545.5091,0.40644,
545.50915,0.40571,
545.5092,0.40614,
545.50925,0.40583,
545.5093,0.40602,
545.50935,0.40522,
545.5094,0.40632,
545.50945,0.40577,
545.5095,0.40596,
545.50955,0.40528,
545.5096,0.40577,
545.50965,0.40596,
545.5097,0.40535,
545.50975,0.40571,
545.5098,0.40589,
545.50985,0.40565,
545.5099,0.40498,
545.50995,0.40589,
545.51,0.40608,
