Wavelength,I
485.73235,0.40419
485.7324,0.4042
485.73245,0.40414
485.7325,0.40431
485.73255,0.40414
485.7326,0.40432
485.73265,0.40422
485.7327,0.40422
485.73275,0.40426
485.7328,0.40423
485.73285,0.40416
485.7329,0.4043
485.73295,0.40417
485.733,0.40417
485.73305,0.40414
485.7331,0.40427
485.73315,0.4041
485.7332,0.40421
485.73325,0.40425
485.7333,0.40415
485.73335,0.40415
485.7334,0.40437
485.73345,0.40414
485.7335,0.4042
485.73355,0.40426
485.7336,0.40428
485.73365,0.40427
485.7337,0.4042
485.73375,0.4042
485.7338,0.40425
485.73385,0.40433
485.7339,0.40426
485.73395,0.40428
485.734,0.40417
485.73405,0.40422
485.7341,0.40422
485.73415,0.4042
485.7342,0.40431
485.73425,0.40425
485.7343,0.40428
485.73435,0.40426
485.7344,0.40439
485.73445,0.40428
485.7345,0.40431
485.73455,0.40421
485.7346,0.40415
485.73465,0.4042
485.7347,0.40422
485.73475,0.40422
485.7348,0.40431
485.73485,0.40428
485.7349,0.4042
485.73495,0.40423
485.735,0.40422
485.73505,0.40428
485.7351,0.40426
485.73515,0.40422
485.7352,0.40436
485.73525,0.40414
485.7353,0.40419
485.73535,0.40426
485.7354,0.40425
485.73545,0.40411
485.7355,0.40423
485.73555,0.40423
485.7356,0.40434
485.73565,0.40416
485.7357,0.40423
485.73575,0.40444
485.7358,0.40431
485.73585,0.40437
485.7359,0.40437
485.73595,0.40425
485.736,0.40425
485.73605,0.40416
485.7361,0.40442
485.73615,0.40425
485.7362,0.40422
485.73625,0.40431
485.7363,0.40425
485.73635,0.40425
485.7364,0.40425
485.73645,0.4042
485.7365,0.40441
485.73655,0.40442
485.7366,0.40438
485.73665,0.40421
485.7367,0.40426
485.73675,0.40416
485.7368,0.40442
485.73685,0.40416
485.7369,0.40436
485.73695,0.40428
485.737,0.40427
485.73705,0.40417
485.7371,0.40411
485.73715,0.40419
485.7372,0.40427
485.73725,0.40415
485.7373,0.40409
485.73735,0.40427
485.7374,0.40433
485.73745,0.40431
485.7375,0.40416
485.73755,0.40433
485.7376,0.4042
485.73765,0.40421
485.7377,0.40427
485.73775,0.40423
485.7378,0.4043
485.73785,0.40423
485.7379,0.40423
485.73795,0.40415
485.738,0.4043
485.73805,0.40422
485.7381,0.40419
485.73815,0.40417
485.7382,0.40413
485.73825,0.40444
485.7383,0.40432
485.73835,0.40419
485.7384,0.40415
485.73845,0.40427
485.7385,0.40421
485.73855,0.40431
485.7386,0.40421
485.73865,0.40417
485.7387,0.40425
485.73875,0.40432
485.7388,0.40426
485.73885,0.40426
485.7389,0.40427
485.73895,0.40425
485.739,0.40417
485.73905,0.40417
485.7391,0.40421
485.73915,0.40425
485.7392,0.40428
485.73925,0.40423
485.7393,0.40421
485.73935,0.4042
485.7394,0.40422
485.73945,0.40428
485.7395,0.40405
485.73955,0.40426
485.7396,0.40423
485.73965,0.40415
485.7397,0.40417
485.73975,0.40425
485.7398,0.40442
485.73985,0.40419
485.7399,0.4042
485.73995,0.40434
485.74,0.4043
485.74005,0.40411
485.7401,0.40426
