Wavelength,I,step
545.50345,0.41071,
545.5035,0.4101,
545.50355,0.4112,
545.5036,0.4109,
545.50365,0.41224,
545.5037,0.41077,
545.50375,0.40888,
545.5038,0.40937,
545.50385,0.41114,
545.5039,0.41047,
545.50395,0.40974,
545.504,0.41059,
545.50405,0.41108,
545.5041,0.41035,
545.50415,0.409,
545.5042,0.41041,
545.50425,0.40876,
545.5043,0.40907,
545.50435,0.4087,
545.5044,0.40797,
545.50445,0.40986,
545.5045,0.40858,
545.50455,0.40888,
545.5046,0.40846,
545.50465,0.40791,
545.5047,0.40846,
545.50475,0.40687,
545.5048,0.40797,
545.50485,0.4084,
545.5049,0.40748,
545.50495,0.40949,
545.505,0.40858,
