Wavelength,I,Incrament,,Ambient Air
655.87945,0.40364,,,
655.8795,0.40351,,,
655.87955,0.4037,,,
655.8796,0.40382,,,
655.87965,0.40388,,,
655.8797,0.40351,,,
655.87975,0.40388,,,
655.8798,0.4037,,,
655.87985,0.40345,,,
655.8799,0.40364,,,
655.87995,0.40345,,,
655.88,0.4037,,,
655.88005,0.4037,,,
655.8801,0.4037,,,
655.88015,0.40351,,,
655.8802,0.40351,,,
655.88025,0.40382,,,
655.8803,0.40382,,,
655.88035,0.40382,,,
655.8804,0.40327,,,
655.88045,0.40364,,,
655.8805,0.40351,,,
655.88055,0.40364,,,
655.8806,0.40345,,,
655.88065,0.4037,,,
655.8807,0.40382,,,
655.88075,0.40376,,,
655.8808,0.40382,,,
655.88085,0.40419,,,
655.8809,0.40376,,,
655.88095,0.40388,,,
655.881,0.40364,,,
655.88105,0.40364,,,
655.8811,0.40364,,,
655.88115,0.40376,,,
655.8812,0.40351,,,
655.88125,0.40364,,,
655.8813,0.4037,,,
655.88135,0.40388,,,
655.8814,0.40364,,,
655.88145,0.40364,,,
655.8815,0.40376,,,
655.88155,0.40339,,,
655.8816,0.40351,,,
655.88165,0.40382,,,
655.8817,0.404,,,
655.88175,0.40376,,,
655.8818,0.4037,,,
655.88185,0.4037,,,
655.8819,0.40364,,,
655.88195,0.40376,,,
655.882,0.404,,,
655.88205,0.40382,,,
655.8821,0.40333,,,
655.88215,0.40358,,,
655.8822,0.40388,,,
655.88225,0.40382,,,
655.8823,0.40394,,,
655.88235,0.40358,,,
655.8824,0.4037,,,
655.88245,0.40388,,,
655.8825,0.40376,,,
655.88255,0.40351,,,
655.8826,0.40358,,,
655.88265,0.40419,,,
655.8827,0.40394,,,
655.88275,0.40358,,,
655.8828,0.40394,,,
655.88285,0.40394,,,
655.8829,0.40382,,,
655.88295,0.40364,,,
655.883,0.4037,,,
655.88305,0.40406,,,
655.8831,0.40364,,,
655.88315,0.40394,,,
655.8832,0.40382,,,
655.88325,0.40358,,,
655.8833,0.40364,,,
655.88335,0.40382,,,
655.8834,0.40364,,,
655.88345,0.40376,,,
655.8835,0.40382,,,
655.88355,0.4037,,,
655.8836,0.4037,,,
655.88365,0.40358,,,
655.8837,0.40339,,,
655.88375,0.40358,,,
655.8838,0.40351,,,
655.88385,0.40382,,,
655.8839,0.40364,,,
655.88395,0.40382,,,
655.884,0.40376,,,
655.88405,0.40345,,,
655.8841,0.40358,,,
655.88415,0.40358,,,
655.8842,0.4037,,,
655.88425,0.40382,,,
655.8843,0.4037,,,
